listing_url,listing_type,scraped_at,price
https://www.sahibinden.com/ilan/emlak-konut-satilik-yaricilar-insaat-tan-site-icinde-satilik-daireler-1318777323/detay,satilik,2026-05-26T18:08:29.247270,
https://www.sahibinden.com/ilan/emlak-konut-satilik-kapali-otopark-merkeze-5-sb2f-uzaklikta-satilik-var-studyo-10-doga-manzarali-sahibinden-846792504/detay,satilik,2026-05-26T18:08:29.249334,
https://www.sahibinden.com/ilan/emlak-konut-satilik-ares-den-site-ici-2-plus1-firsat-daire-1309429004/detay,satilik,2026-05-26T18:08:29.251149,
https://www.sahibinden.com/ilan/emlak-konut-satilik-goztepe-dumplupinar-da-yeni-binada-3-plus1-luks-daire-teklife-acik-1315838356/detay,satilik,2026-05-26T18:08:29.253305,
https://www.sahibinden.com/ilan/emlak-konut-satilik-4-gazetecilerde-panoromik-manzarali-bayrama-karli-girin-1310083461/detay,satilik,2026-05-26T18:08:29.255461,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-merkezde-kisa-katli-butik-sitede-ebeveyn-banyolu-3-plus1-1309831332/detay,satilik,2026-05-26T18:08:29.257131,
https://www.sahibinden.com/ilan/emlak-konut-satilik-siem-den-beylikduzu-yakupluda-yatirimlik-gercek-ilan-2-plus1-daire-1318158429/detay,satilik,2026-05-26T18:08:29.258726,
https://www.sahibinden.com/ilan/emlak-konut-satilik-sultangazi-cebeci-panorama-sitesinde-satilik-ferah-daire-1316966282/detay,satilik,2026-05-26T18:08:29.260647,
https://www.sahibinden.com/ilan/emlak-konut-satilik-cinar-mh-3-plus1-otoparkli-ister-yatirim-ister-oturum-1318716006/detay,satilik,2026-05-26T18:08:29.262089,
https://www.sahibinden.com/ilan/emlak-konut-satilik-ravel-yapi-ister-yatirim-ister-oturum-2-plus1-sifir-daire-1098406751/detay,satilik,2026-05-26T18:08:29.263692,
https://www.sahibinden.com/ilan/emlak-konut-satilik-bakirkoy-kartaltepe-mektupcu-sokakta-satilik-merkezi-2-plus1-daire-1313072017/detay,satilik,2026-05-26T18:08:29.265337,
https://www.sahibinden.com/ilan/emlak-konut-satilik-metrobuse-5-dakika-site-ici-acil-satilik-daire-1314422833/detay,satilik,2026-05-26T18:08:29.267328,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-safadan-marinaya-yakin-cift-terasli-5-plus2-firsati-1316944546/detay,satilik,2026-05-26T18:08:29.269766,
https://www.sahibinden.com/ilan/emlak-konut-satilik-butik-site-ici-metrobuse-yakin-2-plus1-balkonlu-genis-satilik-daire-1318032494/detay,satilik,2026-05-26T18:08:29.272060,
https://www.sahibinden.com/ilan/emlak-konut-satilik-concept-gayrimenkul-tuzla-da-satilik-ozel-tasarim-ara-kat-4-plus2-1311018588/detay,satilik,2026-05-26T18:08:29.274387,
https://www.sahibinden.com/ilan/emlak-konut-satilik-pendik-bahcelievler-2-plus1-satilik-firsat-daire-1318687951/detay,satilik,2026-05-26T18:08:29.276362,
https://www.sahibinden.com/ilan/emlak-konut-satilik-sample-park-atasehir-de-havuzlu-guvenlikli-sitede-luks-daire-1315951037/detay,satilik,2026-05-26T18:08:29.278033,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-merkezde-kisa-katli-deniz-manzarali-dubleks-daire-1318345996/detay,satilik,2026-05-26T18:08:29.280390,
https://www.sahibinden.com/ilan/emlak-konut-satilik-gayrimenkulist-ten-lux-site-icerisinde-mustakil-bahceli-daire-1312894423/detay,satilik,2026-05-26T18:08:29.282476,
