listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at
125158-83,satilik,Pendik,Güllü Bağlar,4950000,56.0,48.0,88392.85714285714,1,1,2,1.0,,9.0,4,,,Combi Boiler,,1.0,Unfurnished,Vacant,True,Edonia Garden,,East,Eligible,Condominium Title,No,,2026-03-17 14:00:29
159341-31,satilik,Pendik,Çınardere,8950000,120.0,76.0,74583.33333333333,3,1,4,1.0,,8.0,0,,,Central (Metered),,2.0,,Vacant,True,Siltaş Panorama,,South,Eligible,Construction Easement,No,,2026-03-17 14:00:38
133645-2,satilik,Pendik,Kaynarca,6690000,103.0,85.0,64951.45631067961,3,1,4,1.0,,4.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Construction Easement,Yes,,2026-03-17 14:00:47
129044-141,satilik,Pendik,Kaynarca,4500000,120.0,85.0,37500.0,2,1,3,-1.0,Garden Floor,4.0,11,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,False,,100.0,South,Eligible,Construction Easement,Yes,,2026-03-17 14:00:55
32674-4175,satilik,Pendik,Esenyalı,3250000,100.0,85.0,32500.0,2,1,3,-1.0,Garden Floor,5.0,15,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,350.0,"South, East",Eligible,Condominium Title,No,,2026-03-17 14:01:04
165647-16,satilik,Pendik,Dumlupınar,4099999,60.0,42.0,68333.31666666667,2,1,3,1.0,,6.0,0,,,Central (Metered),,1.0,Unfurnished,Vacant,True,,,South,Not Eligible,Cooperative Share,No,,2026-03-17 14:01:12
109495-2388,satilik,Pendik,Batı,9000000,110.0,100.0,81818.18181818182,3,1,4,0.0,Entrance Floor,6.0,0,Reinforced Concrete,New,Underfloor Heating,Natural Gas,2.0,Unfurnished,Vacant,False,,,"North, South, East",Eligible,Construction Easement,No,,2026-03-17 14:01:20
4355-136398,satilik,Pendik,Kurtköy,5700000,80.0,62.0,71250.0,2,1,3,5.0,,9.0,3,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Tenant-occupied,True,,1050.0,West,Eligible,Condominium Title,Yes,,2026-03-17 14:01:30
3611-5488,satilik,Pendik,Yeni,6200000,100.0,80.0,62000.0,2,1,3,3.0,,4.0,11,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,300.0,"North, South, East, West",Eligible,Condominium Title,No,,2026-03-17 14:01:38
162634-290,satilik,Pendik,Ahmet Yesevi,5640000,95.0,80.0,59368.42105263158,2,1,3,1.0,,9.0,0,,,Central (Metered),,1.0,Unfurnished,Vacant,False,,,"South, West",Eligible,Condominium Title,No,,2026-03-17 14:01:47
125158-80,satilik,Pendik,Güllü Bağlar,8000000,116.0,85.0,68965.5172413793,2,1,3,8.0,,9.0,5,,,Combi Boiler,,2.0,Unfurnished,Vacant,True,Edonia Garden,,South,Eligible,Condominium Title,No,,2026-03-17 14:01:57
91631-176,satilik,Pendik,Yenişehir,7900000,103.0,88.0,76699.02912621359,2,1,3,2.0,,9.0,16,,,Combi Boiler,,2.0,Unfurnished,Tenant-occupied,True,Dumankaya Trend,4600.0,East,Eligible,Condominium Title,No,,2026-03-17 14:02:09
164229-34,satilik,Pendik,Yeşilbağlar,7000000,85.0,75.0,82352.94117647059,2,1,3,2.0,,5.0,5,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,400.0,South,Eligible,Condominium Title,No,,2026-03-17 14:02:17
32674-4244,satilik,Pendik,Esenyalı,6750000,200.0,187.0,33750.0,5,2,7,,Top Floor,4.0,17,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Owner-occupied,False,,350.0,"South, West",Eligible,Construction Easement,Yes,,2026-03-17 14:02:27
3006-6664,satilik,Pendik,Sapan Bağları,7990000,180.0,170.0,44388.88888888889,4,1,5,0.0,Raised Ground,4.0,11,,,Combi Boiler,,1.0,Unfurnished,Vacant,True,,,"North, South, East",Not Eligible,Construction Easement,No,,2026-03-17 14:02:35
158114-387,satilik,Pendik,Esenyalı,5300000,90.0,80.0,58888.88888888889,2,1,3,3.0,,5.0,6,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,West,Eligible,Construction Easement,No,,2026-03-17 14:02:44
162634-289,satilik,Pendik,Ahmet Yesevi,6775000,110.0,92.0,61590.90909090909,3,1,4,6.0,,9.0,0,,,Central (Metered),,2.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Condominium Title,No,,2026-03-17 14:02:52
166297-30,satilik,Pendik,Doğu,17000000,200.0,160.0,85000.0,4,2,6,7.0,,7.0,0,,,Central (Metered),,3.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Condominium Title,Yes,,2026-03-17 14:03:00
125158-67,satilik,Pendik,Güllü Bağlar,7400000,126.0,95.0,58730.15873015873,2,1,3,0.0,Entrance Floor,9.0,4,,,Combi Boiler,,2.0,Furnished,Vacant,True,Edonia Garden,3500.0,South,Eligible,Condominium Title,No,,2026-03-17 14:03:11
