sub_district,count,avg_price,median_price,avg_ppm2,avg_gross_m2,avg_net_m2
Karayolları,36,9213055.555555556,6512500,77260.3260470192,122.05555555555556,107.30555555555556
Ahmediye,34,8630882.352941176,6500000,74294.01498755605,115.52941176470588,102.47058823529412
Altıntepsi,35,7397857.142857143,6500000,52356.335839033505,134.57142857142858,118.91428571428571
Cevizlik,11,9986363.636363637,6500000,84497.28363883523,114.54545454545455,103
Firuzköy,25,6647280,6500000,64031.08082933868,121.28,93.6
Güllü Bağlar,17,6272941.176470588,6500000,64975.59127963931,98.41176470588235,79.17647058823529
Marmara,83,9866120.34939759,6500000,56051.90836581897,166.66265060240963,138.7710843373494
Mavigöl,11,6322727.2727272725,6500000,46166.43175773634,138.1818181818182,116.18181818181819
Necip Fazıl,95,7541894.72631579,6500000,60722.99497093441,123.91578947368421,104.01052631578948
Semizkumlar,1,6500000,6500000,48148.148148148146,135,105
İnceğiz,1,6500000,6500000,65000,100,85
Çamlık,77,7587206.493506493,6499900,66495.20038881166,112.1038961038961,91.53246753246754
Dereağzı,44,6729704.545454546,6495000,45395.03948630456,152.38636363636363,130.77272727272728
Abdurrahmangazi,122,7960344.262295082,6487500,65374.48998582911,122.67213114754098,102.60655737704919
Pazariçi,12,6004166.666666667,6475000,47519.720532100226,130.41666666666666,117.33333333333333
Hilal,1,6450000,6450000,49615.38461538462,130,120
Havaalanı,21,7700238.095238095,6400000,66302.15168298717,114.19047619047619,95.9047619047619
Meclis,27,7658296.296296297,6400000,60911.73802898534,125.96296296296296,104.51851851851852
Sultançiftliği,77,6948961.025974026,6390000,57236.574330158175,122.62337662337663,106.53246753246754
Defterdar,2,6375000,6375000,53444.70727380249,130,128
Karadolap,37,6507081.081081081,6375000,58175.08543254378,118.16216216216216,101.97297297297297
Beştelsiz,24,6960416.666666667,6350000,65056.13149469202,110.91666666666667,96.91666666666667
Malkoçoğlu,5,6594000,6350000,50087.33766233766,146.2,133.2
Osmangazi,126,6248285.626984127,6337500,54236.959651122335,120.41269841269842,105.56349206349206
Sarıyer Merkez,12,8545833.333333334,6325000,84034.91358178858,97.58333333333333,83
Şahintepe,5,6534000,6320000,49244.46901414514,136,118.2
Büyükdere,10,10175000,6275000,85653.53879415843,108.8,95.9
Eyüp Sultan,36,7818000,6275000,63949.16993836226,124.36111111111111,102.86111111111111
Celaliye,21,6462952.380952381,6250000,44887.6362663236,142.95238095238096,113.95238095238095
Haznedar,25,7714000,6250000,64898.27837492124,120.8,105.16
Ortabayır,62,6181451.612903226,6250000,67817.54167237131,97.48387096774194,85.5
Ortaçeşme,1,6250000,6250000,78125,80,70
Şeyhli,14,6260714.285714285,6250000,58185.17876608897,112.5,88.07142857142857
Sülüntepe,19,6370105.263157895,6240000,60848.307261249465,106.73684210526316,84.84210526315789
Paşabahçe,6,14039333.333333334,6225000,92788.56291108389,133.5,113.33333333333333
Merve,21,6000947.619047619,6199000,49702.57884827414,127.33333333333333,112.95238095238095
Emniyet Evleri,23,6609565.217391305,6150000,65924.16530331699,105.08695652173913,92.17391304347827
Mecidiyeköy,123,7908739.8373983735,6150000,73818.68722409103,105.73170731707317,94.3739837398374
Halide Edip Adıvar,50,7740400,6125000,66480.20632573502,117.62,101.5
Pınartepe,44,8614772.727272727,6125000,52478.743444680484,157.47727272727272,134.0681818181818
Cevatpaşa,17,6977294.117647059,6100000,49772.295860833685,138.94117647058823,119.29411764705883
Karadeniz,57,7125877.192982456,6100000,56129.04372081865,124.0701754385965,97.70175438596492
Katip Kasım,2,6100000,6100000,57500,100,92.5
Mimar Sinan,343,7452693.868804664,6100000,63258.56477416428,116.73177842565597,100.6064139941691
Yeşilova,93,6266924.731182796,6100000,52525.101742916304,123.23655913978494,109.91397849462365
Adnan Kahveci,248,7197532.145161291,6095000,44658.10089795818,159.5040322580645,137.55241935483872
Sütlüce,4,6146250,6075000,66972.91666666667,95,81.25
Yunus,10,7285000,6075000,82414.81700549962,87.7,71.9
Hasanpaşa,18,6680000,6050000,64817.17052040152,109.61111111111111,93.72222222222223
Mimar Sinan Merkez,12,6987000,6050000,45905.748813275335,147.41666666666666,124.33333333333333
Halıcıoğlu,8,6725000,6025000,55214.91014788712,120.75,103.25
Ekinoba,23,6503260.869565218,6000000,47313.81437203425,143.2608695652174,123.47826086956522
Güzelyalı,12,6167500,6000000,47163.10785601734,131.25,117.08333333333333
Molla Gürani,43,7126744.186046512,6000000,60126.796770052715,115.27906976744185,102.55813953488372
Siyavuşpaşa,231,6399324.675324676,6000000,57826.0160694234,112.95670995670996,100.96969696969697
Yarımburgaz,5,6820000,6000000,59833.80242048972,111,94.6
Yavuz Sultan Selim,13,5433461.538461538,6000000,63813.15802610711,87.53846153846153,74.6923076923077
Çırpıcı,31,6506451.612903226,6000000,59630.834408438706,114.64516129032258,101.12903225806451
Esatpaşa,44,7764068.181818182,5995000,69869.3582898648,112.81818181818181,95.18181818181819
Mehmet Akif,219,6582041.091324201,5990000,56621.79031161484,119.8675799086758,104.24657534246575
Barış,84,7049738.047619048,5987000,46105.84737854924,159.25,134.27380952380952
Aydınlı,83,6280590.361445783,5975000,58353.72374467036,109.36144578313252,88.6987951807229
Gülensu,1,5950000,5950000,54090.90909090909,110,100
